
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
13,0.53,35.53,31.32,-0.95,1.69,1.46,48.46,1.28,25.78,0.15
14,0.53,35.53,31.32,-0.95,1.69,1.46,49.09,1.13,25.97,0.27
15,0.95,35.59,26.38,-0.95,1.69,1.46,49.09,1.13,25.97,0.27
16,0.95,35.59,26.38,-1.22,1.72,1.23,54.06,1.13,25.97,0.27
17,0.95,35.59,26.38,-1.22,1.72,1.23,54.06,1.65,26.19,-0.24
18,-2.76,30.66,11.38,-1.22,1.72,1.23,54.06,1.65,26.19,-0.24
19,-2.76,30.66,11.38,0.75,0.88,1.11,89.2,1.65,26.19,-0.24
20,-2.76,30.66,11.38,0.75,0.88,1.11,89.2,1.16,26.34,0.98
21,-1.21,15.38,-49.69,25.43,0.88,1.11,89.2,1.16,26.34,0.98
22,-1.21,15.38,-49.69,25.43,-1.45,-3.95,164.64,1.16,26.34,0.98
23,-1.21,15.38,-49.69,25.43,-1.45,-3.95,164.64,1.68,26.19,0.23
24,-11.03,-23.36,-16.39,100.0,-1.45,-3.95,164.64,1.68,26.19,0.23

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.4,30.83,36.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4,30.83,36.06,-0.92,1.72,0.0,40.64,4.79,0.0,0.0
3,3.4,30.83,36.06,-0.92,1.72,0.67,40.64,4.79,19.07,0.18
4,2.84,31.24,35.97,-0.52,1.72,0.67,40.64,4.79,19.07,0.18
5,2.84,31.24,35.97,-0.52,1.12,1.0,40.83,4.79,19.07,0.18
6,2.84,31.24,35.97,-0.52,1.12,1.0,40.83,4.52,19.25,0.28
7,3.29,31.23,36.82,-0.44,1.12,1.0,40.83,4.52,19.25,0.28
8,3.29,31.23,36.82,-0.44,1.53,1.03,40.36,4.91,19.25,0.28
9,2.96,31.23,36.82,-0.44,1.53,1.03,40.36,4.91,19.41,0.14
10,2.96,31.3,36.51,-1.53,1.67,1.03,40.36,4.91,19.41,0.14
11,2.96,31.3,36.51,-1.53,1.67,1.21,40.53,4.74,19.41,0.14
12,3.01,31.3,36.51,-1.53,1.67,1.21,40.53,4.74,19.59,0.19
13,3.01,31.12,35.81,-1.63,1.69,1.21,40.53,4.74,19.59,0.19
14,3.01,31.12,35.81,-1.63,1.69,1.35,40.98,4.87,19.81,0.19
15,2.96,31.64,35.81,-1.63,1.69,1.35,40.98,4.87,19.81,0.32
16,2.96,31.64,35.55,-1.67,1.43,1.78,40.98,4.87,19.81,0.32
17,2.96,31.64,35.55,-1.67,1.43,1.78,41.75,4.57,20.06,0.02
18,2.42,31.58,32.79,-1.67,1.43,1.78,41.75,4.57,20.06,0.02
19,2.42,31.58,32.79,-0.94,-0.9,1.75,41.75,4.57,20.06,0.02
20,2.42,31.58,32.79,-0.94,-0.9,1.75,44.22,5.21,20.36,-0.79
21,-2.04,28.93,10.87,-0.44,-0.9,1.75,44.22,5.21,20.36,-0.79
22,-2.04,28.93,10.87,-0.44,-3.2,2.45,74.74,-9.75,20.36,-0.79
23,-2.04,28.93,10.87,-0.44,-3.2,2.45,74.74,-9.75,20.77,-0.05
24,0.57,16.42,-47.1,14.25,-3.2,2.45,74.74,-9.75,20.77,-0.05

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.73,35.41,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.73,35.41,32.6,-0.62,1.96,0.99,0.0,0.0,0.0,0.0
3,3.73,35.41,32.6,-0.62,1.96,0.99,47.45,5.81,23.79,0.0
4,2.88,35.84,32.6,-0.62,1.96,0.99,47.45,5.81,23.79,-0.14
5,2.88,35.84,31.12,-0.91,2.01,1.18,47.45,5.81,23.79,-0.14
6,2.88,35.84,31.12,-0.91,2.01,1.18,48.66,5.09,24.01,-0.14
7,2.79,35.61,31.48,-0.91,2.01,1.18,48.66,5.09,24.01,0.48
8,2.79,35.61,31.48,-1.1,1.79,1.48,49.09,5.09,24.01,0.48
9,2.71,35.61,31.48,-1.1,1.79,1.48,49.09,4.74,24.2,0.46
10,2.71,36.08,30.67,0.33,0.96,1.48,49.09,4.74,24.2,0.46
