
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
8,5.72,39.49,-29.01,-20.25,1.53,4.94,123.74,7.03,63.94,0.71
9,5.72,39.49,-29.01,-20.25,3.63,1.54,125.44,10.38,63.94,0.71
10,0.89,39.49,-29.01,-20.25,3.63,1.54,125.44,10.38,64.37,0.17
11,0.89,42.02,-22.76,-9.0,-1.03,1.54,125.44,10.38,64.37,0.17
12,0.89,42.02,-22.76,-9.0,-1.03,4.77,118.64,-0.67,64.95,0.17
13,1.13,44.6,-22.76,-9.0,-1.03,4.77,118.64,-0.67,64.95,0.81
14,1.13,44.6,-17.15,-1.53,1.89,1.32,118.64,-0.67,64.95,0.81
15,1.13,44.6,-17.15,-1.53,1.89,1.32,111.91,0.88,65.22,0.12
16,1.41,44.77,-17.15,-1.53,1.89,1.32,111.91,0.88,65.22,0.12
17,1.41,44.77,-14.01,-0.49,2.85,-0.15,111.91,0.88,65.22,0.12
18,1.41,44.77,-14.01,-0.49,2.85,-0.15,107.81,4.75,65.17,0.05
19,0.86,43.38,-13.93,-2.66,2.85,-0.15,107.81,4.75,65.17,0.05
20,0.86,43.38,-13.93,-2.66,2.57,-0.8,109.82,7.59,65.17,0.05
21,2.53,43.38,-13.93,-2.66,2.57,-0.8,109.82,7.59,65.07,1.01
22,2.53,34.87,-30.17,-4.61,2.57,-0.8,109.82,7.59,65.07,1.01
23,2.53,34.87,-30.17,-4.61,-0.13,0.74,132.75,3.41,65.07,1.01
24,3.6,34.87,-30.17,-4.61,-0.13,0.74,132.75,3.41,65.03,-1.49

0,4.03,3.14,27.82,-99.98,-18.04,-15.3,-4.63,-7.57,70.34,2.1
1,4.03,3.14,27.82,-99.98,-18.04,-15.3,10.52,0.34,68.3,-1.64
2,-1.12,3.14,27.82,-99.98,-18.04,-15.3,10.52,0.34,68.3,-1.64
3,-1.12,9.59,6.27,-99.98,-24.02,-24.75,10.52,0.34,68.3,-1.64
4,-1.12,9.59,6.27,-99.98,-24.02,-24.75,38.64,32.75,66.08,0.11
5,18.11,9.59,6.27,-99.98,-24.02,-24.75,38.64,32.75,66.08,0.11
6,18.11,13.78,-37.52,-94.57,-26.2,-24.75,38.64,32.75,66.08,0.11
7,18.11,13.78,-37.52,-94.57,-26.2,-12.7,87.71,82.59,62.69,0.11
8,7.88,13.78,-37.52,-94.57,-26.2,-12.7,87.71,82.59,62.69,-0.24
9,7.88,25.78,-40.89,-51.52,-10.44,-12.7,87.71,82.59,62.69,-0.24
10,7.88,25.78,-40.89,-51.52,-10.44,-11.9,144.55,18.24,60.62,-0.24
11,14.65,31.87,-40.89,-51.52,-10.44,-11.9,144.55,18.24,60.62,3.81
12,14.65,31.87,-26.57,-5.72,4.07,-5.97,128.78,18.24,60.62,3.81
13,14.65,31.87,-26.57,-5.72,4.07,-5.97,128.78,25.12,58.95,0.18
14,9.22,39.17,-24.45,-4.85,4.07,-5.97,128.78,25.12,58.95,0.18
15,9.22,39.17,-24.45,-4.85,0.06,-0.69,121.82,20.2,58.95,0.18
16,9.47,41.42,-24.45,-4.85,0.06,-0.69,121.82,20.2,58.62,0.04
17,9.47,41.42,-20.89,-2.95,-0.46,0.07,121.82,20.2,58.62,0.04
18,9.47,41.42,-20.89,-2.95,-0.46,0.07,119.09,25.87,58.54,2.06
19,11.86,36.83,-28.12,-2.95,-0.46,0.07,119.09,25.87,58.54,2.06
20,11.86,36.83,-28.12,0.83,3.51,0.46,128.96,25.87,58.54,2.06
21,11.86,36.83,-28.12,0.83,3.51,0.46,128.96,21.95,58.56,-0.52
22,11.67,31.92,-40.57,0.83,3.51,0.46,128.96,21.95,58.56,-0.52
